aaaammjj,num_poste,pmerm,tsvm,brume,brou,fumee,etpgrille
20200911,75116008,,15.0,,,,3.6
20220503,75116008,,9.8,,,,4.9
20200611,75114007,,,,,,5.0
20210609,75110001,,,,,,6.6
20200801,75107005,,,,,,5.1
20210723,75114007,,,,,,7.1
20220321,75107005,,,,,,2.6
20210926,75116008,,18.5,,,,1.9
20201126,75106001,,,,,,0.9
20220614,75107005,,,,,,6.3
20200331,75116008,,6.0,,,,3.1
20220208,75106001,,,,,,1.4
20221224,75114007,,,,,,0.9
20221222,75106001,,,,,,1.1
20210114,75114007,,,,,,1.5
20220116,75116008,,7.0,,,,0.2
20200310,75107005,,,,,,0.9
20211103,75110001,,,,,,1.4
20200103,75116008,,10.5,,,,1.1
20210305,75116008,,5.3,,,,2.3
20220726,75110001,,,,,,5.1
20200802,75110001,,,,,,6.5
20220930,75114007,,,,,,2.6
20210508,75106001,,,,,,4.6
20220902,75106001,,,,,,3.8
20201114,75116008,,12.2,,,,1.9
20220421,75106001,,,,,,5.6
20220624,75106001,,,,,,5.5
20210302,75106001,,,,,,1.9
20200428,75116008,,12.2,,,,3.8
20211025,75107005,,,,,,0.7
20200925,75114007,,,,,,2.9
20220419,75114007,,,,,,4.0
20200609,75107005,,,,,,4.4
20210513,75114007,,,,,,3.4
20211013,75110001,,,,,,1.9
20220217,75116008,,9.2,,,,3.0
20200121,75114007,,,,,,0.9
20200914,75114007,,,,,,5.8
20210120,75110001,,,,,,2.3
20210529,75116008,,10.9,,,,5.5
20220604,75114007,,,,,,5.0
20200104,75106001,,,,,,1.1
20200510,75114007,,,,,,3.2
20210314,75106001,,,,,,2.1
20220725,75114007,,,,,,7.6
20210115,75107005,,,,,,1.2
20200918,75116008,,13.1,,,,4.9
20210822,75110001,,,,,,4.8
20210716,75116008,,15.4,,,,4.0
20220830,75110001,,,,,,5.2
20220102,75106001,,,,,,1.8
20201023,75116008,,14.0,,,,2.1
20201106,75114007,,,,,,1.4
20220510,75116008,,13.1,,,,6.0
20210428,75116008,,8.0,,,,3.7
20200206,75110001,,,,,,1.6
20210427,75107005,,,,,,4.6
20201109,75110001,,,,,,1.3
20210529,75107005,,,,,,5.5
20221105,75107005,,,,,,1.0
20210603,75114007,,,,,,5.5
20220412,75107005,,,,,,3.9
20210125,75116008,,5.8,,,,1.5
20200101,75106001,,,,,,0.2
20210620,75116008,,17.7,,,,4.9
20210504,75116008,,8.8,,,,3.9
20220925,75114007,,,,,,3.5
20211218,75107005,,,,,,0.8
20221005,75116008,,14.0,,,,2.9
20200429,75107005,,,,,,2.7
20211222,75107005,,,,,,0.5
20210120,75116008,,7.5,,,,2.2
20210508,75116008,,11.4,,,,3.9
20211010,75110001,,,,,,1.9
20220304,75106001,,,,,,1.6
20200923,75110001,,,,,,3.4
20211112,75116008,,9.1,,,,0.9
20220608,75106001,,,,,,4.5
20201001,75110001,,,,,,2.9
20210415,75116008,,5.8,,,,2.9
20220311,75116008,,9.6,,,,1.5
20200421,75110001,,,,,,5.8
20201221,75114007,,,,,,0.7
20221216,75114007,,,,,,0.7
20211210,75110001,,,,,,1.5
20201108,75107005,,,,,,0.9
20201230,75116008,,7.5,,,,0.5
20210104,75107005,,,,,,0.7
20220511,75110001,,,,,,6.6
20210124,75110001,,,,,,0.6
20221024,75110001,,,,,,2.7
20210222,75110001,,,,,,2.7
20200717,75107005,,,,,,4.9
20221122,75114007,,,,,,1.5
20200823,75116008,,13.4,,,,4.5
20210628,75106001,,,,,,4.8
20220518,75110001,,,,,,6.6
20201109,75106001,,,,,,1.3
20221023,75116008,,14.8,,,,3.2
20200720,75106001,,,,,,7.0
20211225,75106001,,,,,,0.3
20220930,75107005,,,,,,2.2
20220403,75110001,,,,,,3.0
20220913,75114007,,,,,,4.0
