date,dep,polluant,valeur_mean,valeur_mediane,nb_station_pollution
2019-01-12,92,O3,29.2625,30.2,24
2019-01-12,92,PM10,15.880952380952381,15.4,21
2019-01-12,93,NO2,42.57559523809524,36.1,168
2019-01-12,93,O3,25.52916666666667,25.450000000000003,48
2019-01-12,93,PM10,24.876041666666666,20.799999999999997,96
2019-01-12,93,PM25,15.81875,15.15,48
2019-01-12,94,NO2,30.650000000000002,28.25,48
2019-01-12,94,O3,29.53333333333333,29.700000000000003,48
2019-01-12,94,PM10,14.6875,14.1,48
2019-01-12,94,PM25,9.210526315789474,8.1,19
2019-01-12,95,NO2,22.349999999999998,22.85,48
2019-01-12,95,O3,49.479166666666664,50.45,72
2019-01-12,95,PM10,12.016666666666666,11.55,48
2019-01-12,95,PM25,10.497916666666667,9.649999999999999,48
2019-01-13,75,NO2,23.058611111111112,18.5,360
2019-01-13,75,O3,58.04895833333333,57.150000000000006,96
2019-01-13,75,PM10,15.137566137566138,14.7,189
2019-01-13,75,PM25,8.051428571428572,8.149999999999999,70
2019-01-13,77,NO2,11.944791666666667,11.4,96
2019-01-13,77,O3,60.100833333333334,59.45,120
2019-01-13,77,PM10,12.105555555555556,12.15,72
2019-01-13,77,PM25,6.0125,5.8,48
2019-01-13,78,NO2,4.0647887323943666,4.4,71
2019-01-13,78,O3,66.86041666666667,66.45,96
2019-01-13,78,PM10,7.6125,7.1,24
2019-01-13,78,PM25,5.307142857142857,5.55,14
2019-01-13,91,NO2,13.858333333333333,11.3,72
2019-01-13,91,O3,67.2625,68.05000000000001,48
2019-01-13,91,PM10,5.425,5.75,24
2019-01-13,91,PM25,2.4476190476190474,2.9,21
2019-01-13,92,NO2,14.733333333333333,13.55,72
2019-01-13,92,O3,52.708333333333336,51.4,24
2019-01-13,92,PM10,12.137500000000001,13.05,24
2019-01-13,93,NO2,26.504166666666666,20.35,168
2019-01-13,93,O3,53.54583333333333,52.95,48
2019-01-13,93,PM10,17.517708333333335,13.75,96
2019-01-13,93,PM25,8.516666666666667,8.0,48
2019-01-13,94,NO2,12.070833333333333,11.65,48
2019-01-13,94,O3,57.18958333333333,58.4,48
2019-01-13,94,PM10,11.606250000000001,11.45,48
2019-01-13,94,PM25,5.879166666666666,6.0,24
2019-01-13,95,NO2,7.2562500000000005,7.1,48
2019-01-13,95,O3,68.94999999999999,68.05,72
2019-01-13,95,PM10,11.577083333333334,11.5,48
2019-01-13,95,PM25,7.08125,6.9,48
2019-01-14,75,NO2,39.264044943820224,35.55,356
2019-01-14,75,O3,47.456250000000004,48.0,96
2019-01-14,75,PM10,22.847395833333334,18.2,192
2019-01-14,75,PM25,9.602777777777778,9.149999999999999,72
2019-01-14,77,NO2,26.06989247311828,23.7,93
2019-01-14,77,O3,52.16386554621849,56.4,119
2019-01-14,77,PM10,19.852777777777778,17.7,72
2019-01-14,77,PM25,9.027083333333334,8.3,48
2019-01-14,78,NO2,15.097222222222221,11.15,72
2019-01-14,78,O3,56.153124999999996,60.0,96
2019-01-14,78,PM10,13.516666666666666,12.9,24
2019-01-14,78,PM25,7.780952380952381,7.5,21
2019-01-14,91,NO2,44.68,41.85,70
2019-01-14,91,O3,55.333333333333336,58.9,69
2019-01-14,91,PM10,11.416666666666666,11.649999999999999,24
2019-01-14,91,PM25,5.054166666666666,5.300000000000001,24
2019-01-14,92,NO2,31.329166666666666,33.25,72
2019-01-14,92,O3,44.10833333333333,45.75,24
2019-01-14,92,PM10,15.9875,18.700000000000003,16
2019-01-14,92,PM25,8.866666666666667,9.0,9
2019-01-14,93,NO2,41.35654761904762,39.25,168
2019-01-14,93,O3,41.2875,42.25,48
2019-01-14,93,PM10,24.97083333333333,17.799999999999997,96
2019-01-14,93,PM25,9.9125,8.65,48
2019-01-14,94,NO2,30.227083333333336,33.05,48
2019-01-14,94,O3,43.98510638297873,43.0,47
2019-01-14,94,PM10,15.879166666666668,16.55,48
2019-01-14,94,PM25,7.283333333333334,6.65,24
2019-01-14,95,NO2,20.272916666666667,20.7,48
2019-01-14,95,O3,62.16388888888889,66.25,72
2019-01-14,95,PM10,14.206249999999999,13.4,48
2019-01-14,95,PM25,8.091666666666667,7.449999999999999,48
2019-01-15,75,NO2,45.896918767507,39.5,357
2019-01-15,75,O3,42.90833333333333,41.6,96
2019-01-15,75,PM10,25.003703703703703,21.2,189
2019-01-15,75,PM25,12.085507246376812,10.4,69
2019-01-15,77,NO2,34.485416666666666,34.25,96
2019-01-15,77,O3,35.01833333333333,34.099999999999994,120
2019-01-15,77,PM10,26.941666666666666,24.8,72
