num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20211011,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20200827,4.5,1,11.3,1,220,9,27.3,1,1537,9,19.1,1,19.3,1,16,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20220423,0,1,7.9,1,23,9,20.3,1,1154,9,13.9,1,14.1,1,12.4,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,91027002,ORLY,48.718,2.397,86,20200322,0,1,5.4,1,640,9,11.4,1,1627,9,7.7,1,8.4,1,6,1,5.1,9,,,0,9,7.2,1,,,9.1,1,70,1,118,9,13.8,1,90,1,1956,9,,,,,,,12.6,1,,,1956,9,0,9
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20220920,0,1,4.7,1,553,9,18.8,1,1346,9,11.8,1,11.8,1,14.1,1,1.1,9,,,0,9,1.2,1,,,4,1,350,1,1345,9,6.9,1,20,1,1210,9,,,,,,,6.5,9,,,1210,9,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20200127,6,1,4.2,1,1817,9,8,1,601,9,7.6,1,6.1,1,3.8,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20220905,1.4,1,14.8,1,332,9,30.9,1,1451,9,21.6,1,22.9,1,16.1,1,12.5,9,,,0,9,1.3,1,,,6.7,1,180,1,1719,9,10.2,1,200,1,1715,9,,,,,,,10.1,9,,,1715,9,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20200805,0,1,7.4,1,433,9,31,1,1610,9,20.3,1,19.2,1,23.6,1,5.9,9,,,0,9,1.3,1,,,4.1,1,170,1,1048,9,7.5,1,160,1,1210,9,,,,,,,7.1,9,,,1210,9,,
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20201004,4.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20211230,0.2,1,12,1,1757,9,14.5,1,1159,9,12.4,1,13.3,1,2.5,1,10.7,9,,,0,9,3,1,,,6.5,1,200,1,1142,9,10.7,1,210,1,1123,9,,,,,,,9.8,9,,,849,9,,
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20210221,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20200707,0,1,8,1,413,9,25.2,1,1705,9,18.6,1,16.6,1,17.2,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91027002,91027002,ORLY,48.718,2.397,86,20200508,0.2,1,8.2,1,405,9,24.9,1,1603,9,18.1,1,16.6,1,16.7,1,0.9,9,,,0,9,1.8,1,,,4.7,1,60,1,1008,9,7.3,1,80,1,1009,9,,,,,,,6.8,1,,,1010,9,111,9
91200002,91200002,DOURDAN,48.526167,1.993,116,20220326,0,1,4.2,1,416,9,18.9,1,1407,9,12.2,1,11.6,1,14.7,1,0.2,9,,,0,9,2.9,1,,,7.2,1,90,1,1134,9,11.9,1,70,1,1349,9,,,,,,,11.1,9,,,1349,9,,
91200002,91200002,DOURDAN,48.526167,1.993,116,20200718,0,1,12.7,1,349,9,29.1,1,1607,9,20.9,1,20.9,1,16.4,1,8.9,9,,,0,9,1.5,1,,,3.1,1,270,1,1342,9,6.6,1,290,1,1407,9,,,,,,,,,,,,,,
91275001,91275001,GOMETZ-LE-CHAT.,48.676833,2.135833,159,20220704,0,1,8.7,1,343,9,27.7,1,1550,9,18.9,1,18.2,1,19,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20221110,0,1,3,1,604,9,11.1,1,1545,9,8,1,7.1,1,8.1,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20220923,1.6,1,7,1,540,9,21.7,1,1410,9,14.5,1,14.4,1,14.7,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20211220,0,1,3.8,1,1540,9,5.4,1,1353,9,4.6,1,4.6,1,1.6,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20200128,4.6,1,5.4,1,647,9,8.2,1,1330,9,6.3,1,6.8,1,2.8,1,3.9,9,,,0,9,4.6,1,,,8.5,1,190,1,211,9,20.7,1,290,1,1931,9,,,,,,,19.3,9,,,1931,9,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20220916,0,1,12.3,1,543,9,18.8,1,1439,9,14.8,1,15.6,1,6.5,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91405002,91405002,MILLY-LA-FORET,48.382167,2.431833,109,20200628,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91103001,91103001,BRETIGNY_SAPC,48.6005,2.326,78,20210328,0,1,0.9,1,534,9,16.9,1,1537,9,9.3,1,8.9,1,16,1,,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91184001,91184001,COURDIMANCHE,48.421833,2.374333,71,20200722,0,1,12.7,1,426,9,27,1,1428,9,20.1,1,19.9,1,14.3,1,11.8,9,,,0,9,2.7,1,,,5.2,1,360,1,1106,9,10.2,1,360,1,1243,9,,,,,,,,,,,,,,
